tempo,x,y
8.585858585858586522e+00,3.035559414184673983e+02,-5.765720009770450361e+01
8.686868686868686851e+00,3.071271877880964212e+02,-6.263508136811213944e+01
8.787878787878787179e+00,3.106984341577253872e+02,-6.771295243547933751e+01
8.888888888888889284e+00,3.142696805273544669e+02,-7.289081329980609780e+01
8.989898989898989612e+00,3.178409268969834898e+02,-7.816866396109219295e+01
9.090909090909089940e+00,3.214121732666125126e+02,-8.354650441933779348e+01
9.191919191919192045e+00,3.249834196362415355e+02,-8.902433467454312677e+01
9.292929292929292373e+00,3.285546660058705584e+02,-9.460215472670773806e+01
9.393939393939394478e+00,3.321259123754996381e+02,-1.002799645758319116e+02
9.494949494949494806e+00,3.356971587451286041e+02,-1.060577642219155905e+02
9.595959595959595134e+00,3.392684051147576270e+02,-1.119355536649587179e+02
9.696969696969697239e+00,3.428396514843867067e+02,-1.179133329049614076e+02
9.797979797979797567e+00,3.464108978540157295e+02,-1.239911019419234890e+02
9.898989898989899672e+00,3.499821442236447524e+02,-1.301688607758451894e+02
1.000000000000000000e+01,3.535533905932737753e+02,-1.364466094067262816e+02
